1000000 140.952
2000000 150.1841
3000000 152.0698
4000000 155.1004
5000000 158.657
6000000 157.1454
7000000 162.8473
8000000 161.738
9000000 164.0031
10000000 167.9241
11000000 168.7362
12000000 165.7184
13000000 165.2392
14000000 173.0406
15000000 170.4007
16000000 166.8011
17000000 169.6617
18000000 167.1309
19000000 169.5481
20000000 172.1497
21000000 180.3528
22000000 173.5403
23000000 178.3628
24000000 173.7606
25000000 172.0556
26000000 178.0249
27000000 175.5624
28000000 183.8416
29000000 178.3594
30000000 174.7306
31000000 182.3269
32000000 180.1369
33000000 177.6341
34000000 179.1735
35000000 188.486
36000000 180.4813
37000000 178.2785
38000000 172.3126
39000000 185.3717
40000000 177.2772
41000000 171.8803
42000000 182.0509
43000000 177.8767
44000000 178.993
45000000 177.4895
46000000 187.3995
47000000 181.9723
48000000 181.5024
49000000 190.7122
50000000 173.0854
51000000 183.4428
52000000 184.8283
53000000 177.5958
54000000 183.3928
55000000 180.491
56000000 178.9782
57000000 178.7568
58000000 186.5538
59000000 181.7038
60000000 181.0
61000000 185.0401
62000000 183.3404
63000000 180.2682
64000000 186.7129
65000000 185.033
66000000 185.4113
67000000 175.1604
68000000 188.0809
69000000 195.9768
70000000 200.6984
71000000 197.602
72000000 187.9534
73000000 187.9655
74000000 183.8067
75000000 173.3171
76000000 180.7677
77000000 187.9971
78000000 187.955
79000000 176.7994
80000000 186.4003
81000000 189.5331
82000000 179.0216
83000000 202.6797
84000000 179.9129
85000000 200.5049
86000000 190.3236
87000000 187.4413
88000000 192.3358
89000000 188.2386
90000000 188.2632
91000000 185.2726
92000000 196.7837
93000000 188.2774
94000000 190.3136
95000000 177.6906
96000000 191.2006
97000000 201.1222
98000000 184.4763
99000000 192.172
100000000 175.7523
